review,rating,date,bank,source,sentiment_label,sentiment_score,clean_review,theme
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,NEGATIVE,0.9964652061462402,why dont your atms support accounttoaccount transfers like other countries kenya nigeria south africa,"Customer Support, Financial Transactions"
what is this app problem???,1,2025-06-05,CBE,Google Play,NEGATIVE,0.9996225833892822,what is this app problem,Other
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,POSITIVE,0.9998679161071776,the app is proactive and a good connections,Connectivity Issues
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,NEGATIVE,0.9953354001045228,i cannot send to cbebirr app through this app,Financial Transactions
good,4,2025-06-05,CBE,Google Play,POSITIVE,0.999816119670868,good,Other
not functional,1,2025-06-05,CBE,Google Play,NEGATIVE,0.999778687953949,not functional,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,NEGATIVE,0.9905162453651428,everytime you uninstall the app you have to reach them out physically very oldy if thats one of security layer theyd check for fraud attempt via app source directlysource app store play store etc implicitly we are in physical presence for every app install is traditionaltraditionally very rare,Security & Privacy Concerns
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,NEGATIVE,0.9616847634315492,mr space,Other
best,5,2025-06-04,CBE,Google Play,POSITIVE,0.9997941851615906,best,Other
bezabih,5,2025-06-04,CBE,Google Play,POSITIVE,0.9654072523117064,bezabih,Other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,POSITIVE,0.9997294545173644,best mobile banking app ever,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,NEGATIVE,0.998119294643402,it was good app but it have some issues like it doesnt give me the right amount that i have in the bank and have some issues in transferring,Financial Transactions
Good,5,2025-06-04,CBE,Google Play,POSITIVE,0.999816119670868,good,Other
👌👍,5,2025-06-04,CBE,Google Play,NEGATIVE,0.6970566511154175,,Other
very niec,5,2025-06-04,CBE,Google Play,POSITIVE,0.5192599296569824,very niec,Other
best app of finance,5,2025-06-04,CBE,Google Play,POSITIVE,0.9996503591537476,best app of finance,Other
yetemeta,1,2025-06-03,CBE,Google Play,POSITIVE,0.6553667783737183,yetemeta,Other
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,NEGATIVE,0.8396738767623901,engida kebede fetera,Other
it is not safety,1,2025-06-03,CBE,Google Play,NEGATIVE,0.9997867941856384,it is not safety,Security & Privacy Concerns
NICE bank,5,2025-06-03,CBE,Google Play,POSITIVE,0.999805510044098,nice bank,Other
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,NEGATIVE,0.9997958540916444,it is like a childish app make it better the worst i have ever seen,Other
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,POSITIVE,0.9997678399086,its a problem solver application go ahead cbe i love so much,Other
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,POSITIVE,0.9491770267486572,its good but try to make it facilitate for your client,Other
best app,5,2025-06-01,CBE,Google Play,POSITIVE,0.999686598777771,best app,Other
Awesome bank,5,2025-06-01,CBE,Google Play,POSITIVE,0.99984610080719,awesome bank,Other
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,NEGATIVE,0.9983141422271729,this app has developed in a very good ways but there are some comments i need to make preventing the screenshot likely not good for someone like me coz i need to make screenshot for quicker evidence it would be good if you make us to access recent transaction histories for days coz we dont have to go to the banks in person to see old transactions or add colander category so user can easily access old transactions through colanders,"Account Access Issues, User Interface & Experience, Feature Requests & Suggestions, Financial Transactions"
Masha alla,5,2025-05-31,CBE,Google Play,NEGATIVE,0.9514628052711488,masha alla,Other
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,NEGATIVE,0.9991102814674376,recently there is big problem when sending to safaricom telebir and even to cbebirr wallet could anybody who is responsible fix it its very frustrating its been days and my money hasnt been returned it takes it out of my account but doesnt send it to my mpesa update they have just corrected it and sent me back the money but still im afraid now to send again,"Feature Requests & Suggestions, Financial Transactions"
better service,5,2025-05-31,CBE,Google Play,POSITIVE,0.9982219338417052,better service,Other
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,POSITIVE,0.999837040901184,its good app and time manager,Other
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,NEGATIVE,0.9887813329696656,malkaamuu jiidhaa namoo,Other
lower system everything,3,2025-05-30,CBE,Google Play,NEGATIVE,0.9993475079536438,lower system everything,Other
Nice!,5,2025-05-30,CBE,Google Play,POSITIVE,0.999863862991333,nice,Other
Keep it up My CBE,5,2025-05-29,CBE,Google Play,POSITIVE,0.9996104836463928,keep it up my cbe,Other
yes good,5,2025-05-28,CBE,Google Play,POSITIVE,0.9998410940170288,yes good,Other
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,NEGATIVE,0.9996353387832642,i was using this app for the last two years with no problems it stopped working about months ago when i tried to transfer funds it gives me error cant do this transaction inactive account,Financial Transactions
i like everything of this app,5,2025-05-27,CBE,Google Play,POSITIVE,0.9996908903121948,i like everything of this app,Other
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,NEGATIVE,0.6856130361557007,network,Connectivity Issues
Best,5,2025-05-26,CBE,Google Play,POSITIVE,0.9997941851615906,best,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,POSITIVE,0.9982792139053344,cbe is the best financial application and and very dimple to use i would like to say thank you so much for the developer of application i really appreciate this app,Other
nice,5,2025-05-26,CBE,Google Play,POSITIVE,0.9998552799224854,nice,Other
good job,5,2025-05-26,CBE,Google Play,POSITIVE,0.999835729598999,good job,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,POSITIVE,0.999871015548706,its awesome,Other
thankyou every one,5,2025-05-25,CBE,Google Play,POSITIVE,0.99984610080719,thankyou every one,Other
